,Unnamed: 0,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,teamId,ppda_cal,allowed_ppda,matchtime,tot_points,round,tot_goal,tot_con,Referee.x,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,B365H.x,B365D.x,B365A.x,HtrgPerc,AtrgPerc,matchDay,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
26,105,h,2.39312,0.801428,2.39312,0.801428,7,9,2,0,2.5163,w,2019-09-21 15:00:00,1,0,0,3,1.591692,Burnley,11.68,14.9,14,8,6,8,7,D Coote,13,6,11,7,0,0,11,2,10,3,1,0,2.0,3.8,3.5,0.46153846153846206,0.18181818181818202,Sat,Burnley,observation,1569084600,EGNM,Leeds,2019-09-21 15:00:00,D,70.0,34,3400,Fair,,,48.0,70.0,46.0,29.13,6.0,70.0,140.0,SE,,14.0,,,,,,Low,70.0,2,,,,,CLR,,,,,,,,,
27,111,a,1.2159200000000001,1.09807,1.2159200000000001,1.09807,6,4,0,0,1.4292,d,2019-09-21 17:30:00,0,1,0,1,0.11785,Brighton,6.09523809523809,22.9,16,6,6,5,8,M Atkinson,11,4,12,5,2,0,16,3,8,3,1,0,2.5,3.2,3.0,0.36363636363636404,0.1875,Sat,Brighton,observation,1569093600,EGKK,London/Gatwick,2019-09-21 17:30:00,D,68.0,34,3400,Fair,,,52.0,68.0,56.0,29.58,6.0,68.0,90.0,E,,7.0,,,,,,Low,68.0,0,,,,,CLR,,,,,,,,,
28,117,h,2.53209,1.7154599999999998,1.77093,1.7154599999999998,12,8,3,2,1.9361,w,2019-09-22 16:30:00,1,0,0,3,0.0554699999999999,Arsenal,9.1,11.0,15,11,6,11,10,J Moss,21,6,13,9,5,1,14,9,15,4,1,0,1.4,4.75,8.0,0.28571428571428603,0.6428571428571429,Sun,Arsenal,observation,1569176400,EGLC,Newham,2019-09-22 16:30:00,D,64.0,34,3400,Fair,,,57.0,64.0,77.0,29.66,6.0,64.0,210.0,SSW,,10.0,,,,,,Low,64.0,0,,,,,CLR,,,,,,,,,
29,118,a,1.7154599999999998,2.53209,1.7154599999999998,1.77093,8,12,2,3,0.8444,l,2019-09-22 16:30:00,0,0,1,0,-0.0554699999999999,Aston Villa,11.0,9.1,15,4,6,6,9,J Moss,21,6,13,9,5,1,14,9,15,4,1,0,1.4,4.75,8.0,0.28571428571428603,0.6428571428571429,Sun,Aston Villa,observation,1569176400,EGBB,Birmingham,2019-09-22 16:30:00,D,64.0,34,3400,Fair,,,59.0,64.0,83.0,29.24,6.0,64.0,190.0,S,,7.0,,,,,,Low,64.0,0,,,,,FEW,,,,,,,,,
30,123,h,0.914266,1.6691900000000002,0.914266,1.6691900000000002,3,2,2,2,0.7663,d,2019-09-28 15:00:00,0,1,0,1,-0.7549239999999999,Aston Villa,6.05,9.04545454545454,14,5,7,8,11,L Mason,16,3,10,7,1,0,10,3,16,3,4,0,2.3,3.4,3.1,0.1875,0.3,Sat,Aston Villa,observation,1569689400,EGBB,Birmingham,2019-09-28 15:00:00,D,61.0,11,1101,Light Rain Shower,,,54.0,61.0,77.0,29.39,6.0,61.0,230.0,SW,,13.0,,,,,,Low,61.0,1,,,,,SCT,,,,,,,,,
31,124,h,2.31957,1.29546,2.31957,1.29546,8,17,2,2,2.0753,d,2019-09-28 15:00:00,0,1,0,1,1.02411,Bournemouth,11.25,13.1,14,11,7,13,12,S Attwell,13,5,7,6,3,0,17,6,8,6,1,0,2.5,3.5,2.75,0.384615384615385,0.3529411764705879,Sat,Bournemouth,observation,1569689400,EGHH,Bournemouth,2019-09-28 15:00:00,D,63.0,28,2800,Mostly Cloudy,,,52.0,63.0,68.0,29.82,6.0,63.0,240.0,WSW,,16.0,,,,,,Low,63.0,1,,,,,BKN,,,,,,,,,
32,125,a,0.616263,4.26443,0.616263,3.50326,0,9,0,2,0.0414,l,2019-09-28 15:00:00,0,0,1,0,-2.886997,Brighton,12.7692307692308,14.541666666666698,14,6,7,5,10,C Kavanagh,24,10,5,5,2,0,8,1,13,2,3,0,1.4,4.75,8.0,0.4166666666666671,0.125,Sat,Brighton,observation,1569689400,EGKK,London/Gatwick,2019-09-28 15:00:00,D,64.0,30,3000,Partly Cloudy,,,52.0,64.0,64.0,29.61,6.0,64.0,230.0,SW,28.0,15.0,,,,,,Low,64.0,1,,,,,SCT,,,,,,,,,
33,126,a,1.6691900000000002,0.914266,1.6691900000000002,0.914266,2,3,2,2,1.9909,d,2019-09-28 15:00:00,0,1,0,1,0.7549239999999999,Burnley,9.04545454545454,6.05,14,9,7,10,9,L Mason,16,3,10,7,1,0,10,3,16,3,4,0,2.3,3.4,3.1,0.1875,0.3,Sat,Burnley,observation,1569689400,EGNM,Leeds,2019-09-28 15:00:00,D,57.0,30,3000,Partly Cloudy,,,48.0,57.0,72.0,28.93,6.0,57.0,270.0,W,,17.0,,,,,,Low,57.0,1,,,,,SCT,,,,,,,,,
34,139,a,1.7039900000000001,1.1335,1.7039900000000001,1.1335,7,5,1,1,1.825,d,2019-09-30 20:00:00,0,1,0,1,0.5704899999999999,Arsenal,10.125,5.925925925925929,19,12,7,12,11,K Friend,16,4,18,8,4,0,10,5,13,7,2,0,2.37,3.5,2.9,0.25,0.5,Mon,Arsenal,observation,1569880200,EGLC,Newham,2019-09-30 20:00:00,N,61.0,11,1201,Light Rain,,,57.0,61.0,88.0,29.63,6.0,61.0,170.0,S,,10.0,,,,,,Low,61.0,0,,,,,BKN,,,,,,,,,
35,141,h,2.60017,0.478504,2.60017,0.478504,12,4,3,0,2.8252,w,2019-10-05 12:30:00,1,0,0,3,2.121666,Brighton,8.135135135135139,15.235294117647099,12,9,8,8,10,J Moss,17,6,11,4,2,0,8,3,7,4,1,0,3.9,3.6,1.9,0.3529411764705879,0.375,Sat,Brighton,observation,1570285200,EGKK,London/Gatwick,2019-10-05 12:30:00,D,59.0,28,2800,Mostly Cloudy,,,52.0,59.0,77.0,29.75,6.0,59.0,90.0,E,,7.0,,,,,,Low,59.0,2,,,,,BKN,,,,,,,,,
36,143,a,3.67827,1.84838,2.76412,1.84838,9,13,5,1,2.472,w,2019-10-05 15:00:00,1,0,0,3,0.91574,Aston Villa,8.8,6.04166666666667,15,8,8,13,12,A Madley,21,5,14,10,1,0,22,12,17,6,3,0,2.37,3.6,2.8,0.23809523809523803,0.545454545454545,Sat,Aston Villa,observation,1570294200,EGBB,Birmingham,2019-10-05 15:00:00,D,59.0,30,3000,Partly Cloudy,,,50.0,59.0,72.0,29.59,6.0,59.0,140.0,SE,,13.0,,,,,,Low,59.0,1,,,,,SCT,,,,,,,,,
37,144,h,0.558912,1.30723,0.558912,1.30723,6,4,1,0,0.6769,w,2019-10-05 15:00:00,1,0,0,3,-0.748318,Burnley,19.5,7.8,15,12,8,11,9,G Scott,9,3,5,7,2,0,11,2,12,9,1,1,2.87,3.3,2.5,0.33333333333333304,0.18181818181818202,Sat,Burnley,observation,1570294200,EGNM,Leeds,2019-10-05 15:00:00,D,55.0,30,3000,Partly Cloudy,,,46.0,55.0,72.0,29.22,6.0,55.0,150.0,SSE,,9.0,,,,,,Low,55.0,1,,,,,SCT,,,,,,,,,
38,153,h,1.24109,0.683967,1.24109,0.683967,10,7,1,0,1.8762,w,2019-10-06 14:00:00,1,0,0,3,0.5571229999999999,Arsenal,7.028571428571429,10.217391304347801,14,15,8,13,11,M Atkinson,12,2,12,14,1,0,10,2,6,5,2,0,1.44,4.75,7.0,0.166666666666667,0.2,Sun,Arsenal,observation,1570377000,EGLC,Newham,2019-10-06 14:00:00,D,63.0,30,3000,Partly Cloudy,,,48.0,63.0,59.0,29.78,6.0,63.0,280.0,W,,20.0,,,,,,Low,63.0,1,,,,,SCT,,,,,,,,,
39,154,a,0.683967,1.24109,0.683967,1.24109,7,10,0,1,0.8124,l,2019-10-06 14:00:00,0,0,1,0,-0.5571229999999999,Bournemouth,10.217391304347801,7.028571428571429,14,11,8,13,13,M Atkinson,12,2,12,14,1,0,10,2,6,5,2,0,1.44,4.75,7.0,0.166666666666667,0.2,Sun,Bournemouth,observation,1570377000,EGHH,Bournemouth,2019-10-06 14:00:00,D,63.0,34,3400,Fair,,,48.0,63.0,59.0,29.87,6.0,63.0,310.0,NW,,20.0,,,,,,Low,63.0,2,,,,,FEW,,,,,,,,,
